,pdb_name,processed_path,raw_path,oligomeric_count,oligomeric_detail,resolution,structure_method,num_chains,quaternary_category,seq_len,modeled_seq_len,coil_percent,helix_percent,strand_percent,radius_gyration,cluster
9,4hlb,/wynton/group/kortemme/alexjli/data/framediff/hl/4hlb.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/4hlb.cif,1,monomeric,1.8,x-ray diffraction,1,homomer,168,95,0.3263157894736842,0.3473684210526316,0.3263157894736842,1.329908414954139,680421
14,5hls,/wynton/group/kortemme/alexjli/data/framediff/hl/5hls.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/5hls.cif,1,monomeric,2.18,x-ray diffraction,1,homomer,281,127,0.4724409448818897,0.5275590551181102,0.0,1.5355791325452612,90
16,2hlq,/wynton/group/kortemme/alexjli/data/framediff/hl/2hlq.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/2hlq.cif,1,monomeric,1.45,x-ray diffraction,1,homomer,192,100,0.54,0.1,0.36,1.3864103695282055,19784
40,2hl7,/wynton/group/kortemme/alexjli/data/framediff/hl/2hl7.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/2hl7.cif,1,monomeric,1.7,x-ray diffraction,1,homomer,154,82,0.3902439024390244,0.5487804878048781,0.0609756097560975,1.2241421552318157,424074
41,2hlr,/wynton/group/kortemme/alexjli/data/framediff/hl/2hlr.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/2hlr.cif,1,monomeric,1.2,x-ray diffraction,1,homomer,140,67,0.5970149253731343,0.044776119402985,0.3582089552238806,1.162178803104443,19784
75,1j0o,/wynton/group/kortemme/alexjli/data/framediff/j0/1j0o.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/j0/1j0o.cif,1,monomeric,1.153,x-ray diffraction,1,homomer,464,107,0.6074766355140186,0.2803738317757009,0.1121495327102803,1.4609672584823634,6972
79,1j0p,/wynton/group/kortemme/alexjli/data/framediff/j0/1j0p.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/j0/1j0p.cif,1,monomeric,0.913,x-ray diffraction,1,homomer,502,108,0.6203703703703703,0.2685185185185185,0.1111111111111111,1.4996678221838815,6972
86,5j0d,/wynton/group/kortemme/alexjli/data/framediff/j0/5j0d.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/j0/5j0d.cif,1,monomeric,1.05,x-ray diffraction,1,homomer,248,117,0.358974358974359,0.6410256410256411,0.0,1.5044480779289684,501
87,4j0s,/wynton/group/kortemme/alexjli/data/framediff/j0/4j0s.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/j0/4j0s.cif,1,monomeric,1.84,x-ray diffraction,1,homomer,288,127,0.4724409448818897,0.5275590551181102,0.0,1.5242866763160658,90
106,6j0d,/wynton/group/kortemme/alexjli/data/framediff/j0/6j0d.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/j0/6j0d.cif,1,monomeric,1.9,x-ray diffraction,1,homomer,123,87,0.5172413793103449,0.3908045977011494,0.0919540229885057,1.2984143733468634,502726
114,4j0r,/wynton/group/kortemme/alexjli/data/framediff/j0/4j0r.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/j0/4j0r.cif,1,monomeric,1.72,x-ray diffraction,1,homomer,321,127,0.4724409448818897,0.5275590551181102,0.0,1.5327263513550156,90
124,5s97,/wynton/group/kortemme/alexjli/data/framediff/s9/5s97.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s97.cif,1,monomeric,1.15,x-ray diffraction,1,homomer,316,119,0.3109243697478991,0.6890756302521008,0.0,1.6149418740108676,384
126,5s93,/wynton/group/kortemme/alexjli/data/framediff/s9/5s93.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s93.cif,1,monomeric,1.19,x-ray diffraction,1,homomer,310,119,0.3025210084033613,0.6974789915966386,0.0,1.6048518535151473,384
127,5s95,/wynton/group/kortemme/alexjli/data/framediff/s9/5s95.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s95.cif,1,monomeric,1.21,x-ray diffraction,1,homomer,311,119,0.3025210084033613,0.6974789915966386,0.0,1.6025461937611998,384
137,5s98,/wynton/group/kortemme/alexjli/data/framediff/s9/5s98.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s98.cif,1,monomeric,1.1,x-ray diffraction,1,homomer,319,119,0.3025210084033613,0.6974789915966386,0.0,1.6147294338816336,384
152,5s92,/wynton/group/kortemme/alexjli/data/framediff/s9/5s92.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s92.cif,1,monomeric,1.19,x-ray diffraction,1,homomer,313,119,0.3025210084033613,0.6974789915966386,0.0,1.6153266206893655,384
155,5s9r,/wynton/group/kortemme/alexjli/data/framediff/s9/5s9r.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s9r.cif,1,monomeric,1.85,x-ray diffraction,1,homomer,169,126,0.4682539682539682,0.5317460317460317,0.0,1.4983470926891396,90
156,3s92,/wynton/group/kortemme/alexjli/data/framediff/s9/3s92.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/3s92.cif,1,monomeric,1.36,x-ray diffraction,1,homomer,305,110,0.3363636363636363,0.6636363636363637,0.0,1.4523106700003667,6108
158,5s94,/wynton/group/kortemme/alexjli/data/framediff/s9/5s94.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s94.cif,1,monomeric,1.2,x-ray diffraction,1,homomer,314,119,0.3109243697478991,0.6890756302521008,0.0,1.612895858397022,384
160,5s90,/wynton/group/kortemme/alexjli/data/framediff/s9/5s90.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s90.cif,1,monomeric,1.1,x-ray diffraction,1,homomer,315,119,0.3109243697478991,0.6890756302521008,0.0,1.6086973059535254,384
161,5s9a,/wynton/group/kortemme/alexjli/data/framediff/s9/5s9a.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s9a.cif,1,monomeric,1.36,x-ray diffraction,1,homomer,314,119,0.3109243697478991,0.6890756302521008,0.0,1.6088727088598576,384
164,5s96,/wynton/group/kortemme/alexjli/data/framediff/s9/5s96.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s96.cif,1,monomeric,1.17,x-ray diffraction,1,homomer,316,119,0.3025210084033613,0.6974789915966386,0.0,1.611635484318101,384
167,5s91,/wynton/group/kortemme/alexjli/data/framediff/s9/5s91.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s91.cif,1,monomeric,1.29,x-ray diffraction,1,homomer,312,119,0.2941176470588235,0.7058823529411765,0.0,1.6156977850747811,384
170,5s9c,/wynton/group/kortemme/alexjli/data/framediff/s9/5s9c.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s9c.cif,1,monomeric,1.14,x-ray diffraction,1,homomer,314,119,0.3025210084033613,0.6974789915966386,0.0,1.6137968191956442,384
174,5s9d,/wynton/group/kortemme/alexjli/data/framediff/s9/5s9d.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s9d.cif,1,monomeric,1.19,x-ray diffraction,1,homomer,310,119,0.3025210084033613,0.6974789915966386,0.0,1.604736781863109,384
178,5s99,/wynton/group/kortemme/alexjli/data/framediff/s9/5s99.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s99.cif,1,monomeric,1.18,x-ray diffraction,1,homomer,320,119,0.3025210084033613,0.6974789915966386,0.0,1.6070966206136883,384
179,5s9g,/wynton/group/kortemme/alexjli/data/framediff/s9/5s9g.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s9g.cif,1,monomeric,1.09,x-ray diffraction,1,homomer,319,119,0.3109243697478991,0.6890756302521008,0.0,1.6118733209469884,384
188,5s9b,/wynton/group/kortemme/alexjli/data/framediff/s9/5s9b.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s9b.cif,1,monomeric,1.15,x-ray diffraction,1,homomer,319,119,0.3109243697478991,0.6890756302521008,0.0,1.610315523135646,384
190,5s9j,/wynton/group/kortemme/alexjli/data/framediff/s9/5s9j.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/s9/5s9j.cif,1,monomeric,1.15,x-ray diffraction,1,homomer,320,119,0.3109243697478991,0.6890756302521008,0.0,1.607574436719536,384
