pdb_name,processed_path,raw_path,num_chains,quaternary_category,seq_len,modeled_seq_len,coil_percent,helix_percent,strand_percent,radius_gyration
d1hp1a2,/wynton/group/kortemme/alexjli/data/frameflow/d1hp1a2.pkl,/data/rsg/chemistry/jyim/large_data/scope/d1hp1a2.pdb,1,homomer,328,328,0.45121951219512196,0.2682926829268293,0.2804878048780488,1.9195774410000415
d1w25a2,/wynton/group/kortemme/alexjli/data/frameflow/d1w25a2.pkl,/data/rsg/chemistry/jyim/large_data/scope/d1w25a2.pdb,1,homomer,153,153,0.43137254901960786,0.4117647058823529,0.1568627450980392,1.64664663551551
d2ckxa1,/wynton/group/kortemme/alexjli/data/frameflow/d2ckxa1.pkl,/data/rsg/chemistry/jyim/large_data/scope/d2ckxa1.pdb,1,homomer,83,83,0.3132530120481928,0.6867469879518072,0.0,1.2216951003825536
d1trba2,/wynton/group/kortemme/alexjli/data/frameflow/d1trba2.pkl,/data/rsg/chemistry/jyim/large_data/scope/d1trba2.pdb,1,homomer,126,126,0.4126984126984127,0.2777777777777778,0.30952380952380953,1.389139288945649
d6r2na1,/wynton/group/kortemme/alexjli/data/frameflow/d6r2na1.pkl,/data/rsg/chemistry/jyim/large_data/scope/d6r2na1.pdb,1,homomer,218,218,0.40825688073394495,0.3532110091743119,0.23853211009174313,2.261842192516955
d1ayoa_,/wynton/group/kortemme/alexjli/data/frameflow/d1ayoa_.pkl,/data/rsg/chemistry/jyim/large_data/scope/d1ayoa_.pdb,1,homomer,130,130,0.43846153846153846,0.06923076923076923,0.49230769230769234,1.502156729022098
d2piaa3,/wynton/group/kortemme/alexjli/data/frameflow/d2piaa3.pkl,/data/rsg/chemistry/jyim/large_data/scope/d2piaa3.pdb,1,homomer,98,98,0.6632653061224489,0.07142857142857142,0.2653061224489796,1.256919733076287
d1g4wr2,/wynton/group/kortemme/alexjli/data/frameflow/d1g4wr2.pkl,/data/rsg/chemistry/jyim/large_data/scope/d1g4wr2.pdb,1,homomer,243,243,0.4691358024691358,0.3004115226337449,0.23045267489711935,1.6856874052991375
d1g66a_,/wynton/group/kortemme/alexjli/data/frameflow/d1g66a_.pkl,/data/rsg/chemistry/jyim/large_data/scope/d1g66a_.pdb,1,homomer,207,207,0.4396135265700483,0.3961352657004831,0.1642512077294686,1.5098776602235786
d4ypoa1,/wynton/group/kortemme/alexjli/data/frameflow/d4ypoa1.pkl,/data/rsg/chemistry/jyim/large_data/scope/d4ypoa1.pdb,1,homomer,180,180,0.3611111111111111,0.4222222222222222,0.21666666666666667,1.499360798700826
d1y3ta1,/wynton/group/kortemme/alexjli/data/frameflow/d1y3ta1.pkl,/data/rsg/chemistry/jyim/large_data/scope/d1y3ta1.pdb,1,homomer,330,330,0.5121212121212121,0.08484848484848485,0.403030303030303,1.9377105485600423
d4g26a1,/wynton/group/kortemme/alexjli/data/frameflow/d4g26a1.pkl,/data/rsg/chemistry/jyim/large_data/scope/d4g26a1.pdb,1,homomer,205,205,0.28292682926829266,0.7170731707317073,0.0,2.0440998946628883
d2bz2a1,/wynton/group/kortemme/alexjli/data/frameflow/d2bz2a1.pkl,/data/rsg/chemistry/jyim/large_data/scope/d2bz2a1.pdb,1,homomer,79,79,9.050632911392405,4.810126582278481,6.139240506329114,1.261660010597125
d5u1ma_,/wynton/group/kortemme/alexjli/data/frameflow/d5u1ma_.pkl,/data/rsg/chemistry/jyim/large_data/scope/d5u1ma_.pdb,1,homomer,105,105,0.29523809523809524,0.2571428571428571,0.44761904761904764,1.3563326978794552
d1a8qa_,/wynton/group/kortemme/alexjli/data/frameflow/d1a8qa_.pkl,/data/rsg/chemistry/jyim/large_data/scope/d1a8qa_.pdb,1,homomer,274,274,0.40875912408759124,0.4233576642335766,0.1678832116788321,1.7191668276159078
d4rkfa_,/wynton/group/kortemme/alexjli/data/frameflow/d4rkfa_.pkl,/data/rsg/chemistry/jyim/large_data/scope/d4rkfa_.pdb,1,homomer,171,171,0.3391812865497076,0.3742690058479532,0.28654970760233917,1.5480793696959758
d1u7pa_,/wynton/group/kortemme/alexjli/data/frameflow/d1u7pa_.pkl,/data/rsg/chemistry/jyim/large_data/scope/d1u7pa_.pdb,1,homomer,164,164,0.43902439024390244,0.36585365853658536,0.1951219512195122,1.5593295331944517
d2hgca1,/wynton/group/kortemme/alexjli/data/frameflow/d2hgca1.pkl,/data/rsg/chemistry/jyim/large_data/scope/d2hgca1.pdb,1,homomer,78,78,7.987179487179487,10.038461538461538,1.9743589743589745,1.1760636478687996
d1h2ba2,/wynton/group/kortemme/alexjli/data/frameflow/d1h2ba2.pkl,/data/rsg/chemistry/jyim/large_data/scope/d1h2ba2.pdb,1,homomer,172,172,0.3313953488372093,0.47093023255813954,0.19767441860465115,1.6136862583256022
d1yi8a_,/wynton/group/kortemme/alexjli/data/frameflow/d1yi8a_.pkl,/data/rsg/chemistry/jyim/large_data/scope/d1yi8a_.pdb,1,homomer,331,331,0.36253776435045315,0.5589123867069486,0.07854984894259819,2.210108818769959
d2rmra_,/wynton/group/kortemme/alexjli/data/frameflow/d2rmra_.pkl,/data/rsg/chemistry/jyim/large_data/scope/d2rmra_.pdb,1,homomer,71,71,7.366197183098592,12.605633802816902,0.028169014084507043,1.2387920827684913
d2c71a1,/wynton/group/kortemme/alexjli/data/frameflow/d2c71a1.pkl,/data/rsg/chemistry/jyim/large_data/scope/d2c71a1.pdb,1,homomer,204,204,0.4068627450980392,0.4411764705882353,0.15196078431372548,1.5946254997051716
d2g7oa1,/wynton/group/kortemme/alexjli/data/frameflow/d2g7oa1.pkl,/data/rsg/chemistry/jyim/large_data/scope/d2g7oa1.pdb,1,homomer,68,68,0.23529411764705882,0.7647058823529411,0.0,1.728112572693907
d1sf9a1,/wynton/group/kortemme/alexjli/data/frameflow/d1sf9a1.pkl,/data/rsg/chemistry/jyim/large_data/scope/d1sf9a1.pdb,1,homomer,104,104,0.2403846153846154,0.47115384615384615,0.28846153846153844,1.5061320754013277
