pdb_name,processed_path,raw_path,oligomeric_count,oligomeric_detail,num_chains,quaternary_category,seq_len,modeled_seq_len,coil_percent,helix_percent,strand_percent,radius_gyration
AF-A0A6M6E692-F1-model_v4,/wynton/group/kortemme/alexjli/data/afdb_128/a6/AF-A0A6M6E692-F1-model_v4.pkl,/wynton/group/kortemme/afdb/res_lteq128_plddt_gteq80/filtered_cif/A6/AF-A0A6M6E692-F1-model_v4.cif,,,1,homomer,89,89,0.3595505617977528,0.6179775280898876,0.02247191011235955,1.3295689826320802
AF-A0A653NCN7-F1-model_v4,/wynton/group/kortemme/alexjli/data/afdb_128/a6/AF-A0A653NCN7-F1-model_v4.pkl,/wynton/group/kortemme/afdb/res_lteq128_plddt_gteq80/filtered_cif/A6/AF-A0A653NCN7-F1-model_v4.cif,,,1,homomer,98,98,0.2755102040816326,0.7244897959183674,0.0,1.331166806576009
AF-A0A661CVM8-F1-model_v4,/wynton/group/kortemme/alexjli/data/afdb_128/a6/AF-A0A661CVM8-F1-model_v4.pkl,/wynton/group/kortemme/afdb/res_lteq128_plddt_gteq80/filtered_cif/A6/AF-A0A661CVM8-F1-model_v4.cif,,,1,homomer,64,64,0.34375,0.65625,0.0,1.0998739041330028
AF-A0A6I2JJ10-F1-model_v4,/wynton/group/kortemme/alexjli/data/afdb_128/a6/AF-A0A6I2JJ10-F1-model_v4.pkl,/wynton/group/kortemme/afdb/res_lteq128_plddt_gteq80/filtered_cif/A6/AF-A0A6I2JJ10-F1-model_v4.cif,,,1,homomer,111,111,0.35135135135135137,0.4144144144144144,0.23423423423423423,1.3908191936955938
AF-A0A6I2VYA5-F1-model_v4,/wynton/group/kortemme/alexjli/data/afdb_128/a6/AF-A0A6I2VYA5-F1-model_v4.pkl,/wynton/group/kortemme/afdb/res_lteq128_plddt_gteq80/filtered_cif/A6/AF-A0A6I2VYA5-F1-model_v4.cif,,,1,homomer,102,102,0.30392156862745096,0.3333333333333333,0.3627450980392157,1.3147442591139724
AF-A0A6G1W1D5-F1-model_v4,/wynton/group/kortemme/alexjli/data/afdb_128/a6/AF-A0A6G1W1D5-F1-model_v4.pkl,/wynton/group/kortemme/afdb/res_lteq128_plddt_gteq80/filtered_cif/A6/AF-A0A6G1W1D5-F1-model_v4.cif,,,1,homomer,123,123,0.4065040650406504,0.17073170731707318,0.42276422764227645,1.3909506217548913
AF-A0A650CHN6-F1-model_v4,/wynton/group/kortemme/alexjli/data/afdb_128/a6/AF-A0A650CHN6-F1-model_v4.pkl,/wynton/group/kortemme/afdb/res_lteq128_plddt_gteq80/filtered_cif/A6/AF-A0A650CHN6-F1-model_v4.cif,,,1,homomer,128,128,0.3203125,0.2734375,0.40625,1.5239178932343065
AF-A0A662SX11-F1-model_v4,/wynton/group/kortemme/alexjli/data/afdb_128/a6/AF-A0A662SX11-F1-model_v4.pkl,/wynton/group/kortemme/afdb/res_lteq128_plddt_gteq80/filtered_cif/A6/AF-A0A662SX11-F1-model_v4.cif,,,1,homomer,92,92,0.2717391304347826,0.5760869565217391,0.15217391304347827,1.3546091898744392
AF-A0A6N4W0P0-F1-model_v4,/wynton/group/kortemme/alexjli/data/afdb_128/a6/AF-A0A6N4W0P0-F1-model_v4.pkl,/wynton/group/kortemme/afdb/res_lteq128_plddt_gteq80/filtered_cif/A6/AF-A0A6N4W0P0-F1-model_v4.cif,,,1,homomer,86,86,0.38372093023255816,0.1744186046511628,0.4418604651162791,1.3030325087029506
AF-A0A6C0AKI5-F1-model_v4,/wynton/group/kortemme/alexjli/data/afdb_128/a6/AF-A0A6C0AKI5-F1-model_v4.pkl,/wynton/group/kortemme/afdb/res_lteq128_plddt_gteq80/filtered_cif/A6/AF-A0A6C0AKI5-F1-model_v4.cif,,,1,homomer,127,127,0.3700787401574803,0.4251968503937008,0.2047244094488189,1.396173015943811
AF-A0A6G3RWL6-F1-model_v4,/wynton/group/kortemme/alexjli/data/afdb_128/a6/AF-A0A6G3RWL6-F1-model_v4.pkl,/wynton/group/kortemme/afdb/res_lteq128_plddt_gteq80/filtered_cif/A6/AF-A0A6G3RWL6-F1-model_v4.cif,,,1,homomer,118,118,0.4067796610169492,0.3050847457627119,0.288135593220339,1.3669402229596461
AF-A0A6L8GI01-F1-model_v4,/wynton/group/kortemme/alexjli/data/afdb_128/a6/AF-A0A6L8GI01-F1-model_v4.pkl,/wynton/group/kortemme/afdb/res_lteq128_plddt_gteq80/filtered_cif/A6/AF-A0A6L8GI01-F1-model_v4.cif,,,1,homomer,92,92,0.42391304347826086,0.5,0.07608695652173914,1.2330140758918373
