,pdb_name,processed_path,raw_path,oligomeric_count,oligomeric_detail,resolution,structure_method,num_chains,quaternary_category,seq_len,modeled_seq_len,coil_percent,helix_percent,strand_percent,radius_gyration,cluster
0,4hll,/wynton/group/kortemme/alexjli/data/framediff/hl/4hll.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/4hll.cif,1,monomeric,2.2,x-ray diffraction,1,homomer,188,154,0.448051948051948,0.551948051948052,0.0,1.607101520770412,392
2,5hlq,/wynton/group/kortemme/alexjli/data/framediff/hl/5hlq.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/5hlq.cif,1,monomeric,1.5,x-ray diffraction,1,homomer,396,152,0.2171052631578947,0.7828947368421053,0.0,1.568696824787034,224
3,8hl9,/wynton/group/kortemme/alexjli/data/framediff/hl/8hl9.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/8hl9.cif,1,monomeric,1.6,x-ray diffraction,1,homomer,280,141,0.425531914893617,0.0212765957446808,0.5531914893617021,1.4566224086410466,3345
4,5hlx,/wynton/group/kortemme/alexjli/data/framediff/hl/5hlx.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/5hlx.cif,1,monomeric,1.5,x-ray diffraction,1,homomer,442,153,0.2222222222222222,0.7777777777777778,0.0,1.5800963052367716,224
5,3hlr,/wynton/group/kortemme/alexjli/data/framediff/hl/3hlr.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/3hlr.cif,1,monomeric,2.3,x-ray diffraction,1,homomer,452,258,0.4806201550387597,0.0968992248062015,0.4224806201550387,1.962302184637875,9285
6,3hlo,/wynton/group/kortemme/alexjli/data/framediff/hl/3hlo.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/3hlo.cif,1,monomeric,1.6,x-ray diffraction,1,homomer,345,203,0.4187192118226601,0.0591133004926108,0.5270935960591133,1.7374771530437645,5767
9,4hlb,/wynton/group/kortemme/alexjli/data/framediff/hl/4hlb.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/4hlb.cif,1,monomeric,1.8,x-ray diffraction,1,homomer,168,95,0.3263157894736842,0.3473684210526316,0.3263157894736842,1.329908414954139,94228
10,4hl4,/wynton/group/kortemme/alexjli/data/framediff/hl/4hl4.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/4hl4.cif,1,monomeric,2.2,x-ray diffraction,1,homomer,328,280,0.3571428571428571,0.6392857142857142,0.0,1.9509097579912345,58825
14,5hls,/wynton/group/kortemme/alexjli/data/framediff/hl/5hls.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/5hls.cif,1,monomeric,2.18,x-ray diffraction,1,homomer,281,127,0.4724409448818897,0.5275590551181102,0.0,1.5355791325452612,263
16,2hlq,/wynton/group/kortemme/alexjli/data/framediff/hl/2hlq.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/2hlq.cif,1,monomeric,1.45,x-ray diffraction,1,homomer,192,100,0.54,0.1,0.36,1.3864103695282055,22326
20,5hlw,/wynton/group/kortemme/alexjli/data/framediff/hl/5hlw.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/5hlw.cif,1,monomeric,1.97,x-ray diffraction,1,homomer,478,284,0.4507042253521127,0.397887323943662,0.1514084507042253,1.9695825915515293,1
22,5hle,/wynton/group/kortemme/alexjli/data/framediff/hl/5hle.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/5hle.cif,1,monomeric,2.85,x-ray diffraction,1,homomer,308,303,0.4323432343234323,0.297029702970297,0.2673267326732673,1.930932414463419,776
28,4hlj,/wynton/group/kortemme/alexjli/data/framediff/hl/4hlj.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/4hlj.cif,1,monomeric,1.67,x-ray diffraction,1,homomer,437,223,0.484304932735426,0.0896860986547085,0.4260089686098655,2.848524282200532,15505
30,2hly,/wynton/group/kortemme/alexjli/data/framediff/hl/2hly.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/2hly.cif,1,monomeric,1.6,x-ray diffraction,1,homomer,484,205,0.4146341463414634,0.3414634146341463,0.2439024390243902,1.7302913467787688,90141
31,2hl9,/wynton/group/kortemme/alexjli/data/framediff/hl/2hl9.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/2hl9.cif,1,monomeric,1.8,x-ray diffraction,1,homomer,331,218,0.3944954128440367,0.4495412844036697,0.1559633027522936,1.7474348172560277,32295
33,1hlb,/wynton/group/kortemme/alexjli/data/framediff/hl/1hlb.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/1hlb.cif,1,monomeric,2.5,x-ray diffraction,1,homomer,270,157,0.3312101910828025,0.6687898089171974,0.0,1.6829391292163742,26570
35,3hlj,/wynton/group/kortemme/alexjli/data/framediff/hl/3hlj.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/3hlj.cif,1,monomeric,1.438,x-ray diffraction,1,homomer,487,257,0.5330739299610895,0.159533073929961,0.3073929961089494,1.7602202322831628,61
36,2hl8,/wynton/group/kortemme/alexjli/data/framediff/hl/2hl8.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/2hl8.cif,1,monomeric,2.0,x-ray diffraction,1,homomer,335,219,0.4200913242009132,0.4292237442922374,0.1506849315068493,1.7381667401079,32295
40,2hl7,/wynton/group/kortemme/alexjli/data/framediff/hl/2hl7.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/2hl7.cif,1,monomeric,1.7,x-ray diffraction,1,homomer,154,82,0.3902439024390244,0.5487804878048781,0.0609756097560975,1.2241421552318157,57273
41,2hlr,/wynton/group/kortemme/alexjli/data/framediff/hl/2hlr.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/2hlr.cif,1,monomeric,1.2,x-ray diffraction,1,homomer,140,67,0.5970149253731343,0.044776119402985,0.3582089552238806,1.162178803104443,22326
54,5hlu,/wynton/group/kortemme/alexjli/data/framediff/hl/5hlu.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/5hlu.cif,1,monomeric,1.5,x-ray diffraction,1,homomer,439,152,0.2171052631578947,0.7828947368421053,0.0,1.5783947626662858,224
56,2hlv,/wynton/group/kortemme/alexjli/data/framediff/hl/2hlv.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/2hlv.cif,1,monomeric,1.65,x-ray diffraction,1,homomer,282,149,0.3959731543624161,0.1275167785234899,0.4765100671140939,1.5140827650410036,1579
61,4hlw,/wynton/group/kortemme/alexjli/data/framediff/hl/4hlw.pkl,/wynton/group/kortemme/alexjli/databases/PDB/mmCIF/hl/4hlw.cif,1,monomeric,2.5,x-ray diffraction,1,homomer,256,244,0.2704918032786885,0.6762295081967213,0.0532786885245901,1.7713343233620948,899
